points   maxTile
3004     256
5196     512
1084     64
2652     256
2952     256
2616     256
2008     128
1184     128
4200     512
4144     256
1716     128
1504     128
5084     512
1356     128
7196     512
3020     256
4396     512
928     128
2884     256
2776     256
2324     128
2192     256
2292     256
1428     128
3668     256
4528     256
3568     256
4316     512
4464     512
4408     512
1708     128
3196     256
2964     256
3036     256
6040     512
5536     512
4476     512
5000     512
6296     512
2996     256
3556     256
6912     512
2880     256
2432     256
5008     512
3596     256
5476     512
1936     128
3572     256
2288     256
3396     256
1892     128
8292     512
4944     512
2092     128
2456     256
3392     256
2460     128
3680     256
3000     256
1704     128
2276     256
4812     512
4292     512
6336     512
2932     256
4932     512
3484     256
3508     256
2220     128
5572     512
4692     512
1312     128
4288     256
4328     512
4892     512
2400     256
1400     128
5196     512
3852     256
2368     256
3584     256
1196     128
2400     128
4700     256
2880     256
2412     256
3196     256
2628     256
2456     256
2212     256
2548     256
2464     256
2144     256
1084     64
2824     256
4196     256
2472     256
3680     256
5584     512
2852     256
3084     256
3528     256
4540     256
2472     256
5004     512
3544     256
2984     256
2112     128
5236     512
3424     256
3260     256
2344     256
4976     512
4392     512
3540     256
2572     256
3176     256
2568     256
2468     256
3180     256
1236     128
1692     128
4360     256
4644     512
2412     256
4520     512
3028     256
1396     128
3724     256
1448     128
2472     256
1036     128
2816     256
6760     512
5752     512
3276     256
4484     256
1948     256
2216     256
1856     128
2832     256
3648     256
1920     128
4176     512
6148     512
6544     512
2428     256
4968     512
3324     256
2524     256
652     64
3308     256
2376     256
688     64
2900     256
4312     256
1600     128
6948     512
2284     256
5864     512
3344     256
3492     256
2564     256
624     64
2956     256
3096     256
2472     128
2456     256
5736     512
2904     256
2964     256
3752     256
5452     512
2924     256
2484     256
2968     256
4988     512
4832     512
6160     512
5844     512
1048     128
1680     128
5696     512
2496     256
2100     128
940     128
3548     256
5192     512
1200     128
5364     512
3236     256
1844     128
1752     128
4728     512
2636     128
3336     256
4500     512
6836     512
1020     128
1384     128
1800     128
4212     512
2636     256
5024     512
3252     256
3028     256
1676     128
1688     128
1988     128
3104     256
3036     256
2648     256
1748     128
2028     256
2636     256
2772     256
3408     256
1668     128
3300     256
2336     128
1656     128
4044     512
1516     128
1296     128
2884     256
2712     256
1128     128
3044     256
1096     128
3180     256
1324     128
5408     512
5152     512
5404     512
9676     1024
2164     256
3052     256
1248     128
2888     256
6036     512
5160     512
6888     512
2828     256
5292     512
5628     512
1272     128
3448     256
2120     256
5016     512
4120     256
2884     256
1752     128
5560     512
1572     128
1412     128
2860     256
5016     512
2512     256
2212     256
1032     128
2276     256
6484     512
5252     512
3452     256
4880     512
1704     128
3608     256
6900     512
2148     256
2252     128
6184     512
3192     256
2776     256
1360     128
2404     256
3004     256
2476     256
4776     512
5740     512
1488     128
3920     256
3152     256
1220     128
2008     128
4972     512
2080     128
5740     512
3032     256
2216     128
2876     256
4536     512
2696     256
5736     512
2516     256
2228     128
3024     256
1348     128
2976     256
4808     512
6080     512
4952     512
1228     128
3308     256
996     64
2332     256
2228     256
6936     512
1620     128
1388     128
3076     256
2244     128
4472     512
5128     512
1508     128
3892     256
6516     512
5028     512
5636     512
3252     256
4764     256
1920     128
2964     256
1732     128
6972     512
828     64
3364     256
3104     256
3364     256
1880     128
2680     256
1440     128
1556     128
3160     256
3032     256
2812     256
2572     256
1688     128
3076     256
3092     256
2812     256
2516     128
3148     256
3208     256
10684     1024
3268     256
780     64
2908     256
1052     128
5276     512
9756     1024
4368     512
3500     256
1504     128
2728     256
4052     512
876     64
2044     256
1712     128
1452     128
2932     256
2900     256
2316     256
1504     128
4056     256
2224     256
2472     256
2808     256
5276     512
5248     512
2260     256
2956     256
2500     256
2588     256
2960     256
2852     256
5640     512
4912     512
2976     256
2268     256
4976     512
3124     256
3196     256
3112     256
4584     512
2800     256
2668     256
3960     256
2532     256
2160     256
2044     128
2924     256
2524     256
5764     512
6716     512
8988     1024
2052     256
2488     256
1260     128
1532     128
5056     512
2732     256
1168     128
1812     128
3016     256
5656     512
5268     512
4444     256
4316     512
1912     128
5084     512
2944     256
2712     256
1432     128
1936     128
3364     256
2884     256
2816     256
4684     512
2244     256
6012     512
3636     256
2324     256
1332     128
4972     512
2884     256
2224     256
3280     256
6632     512
3024     256
1980     128
5632     512
2504     256
5768     512
2144     256
3036     256
4972     512
2892     256
3272     256
1348     128
1092     64
2380     256
3160     256
5292     512
4216     512
2868     256
3100     256
3680     256
3124     256
2448     256
2172     256
3708     256
1952     128
1640     128
3056     256
2848     256
4108     256
2792     256
1568     128
8684     512
5064     512
5984     512
5976     512
5780     512
3056     256
1968     128
1848     256
1820     128
2900     256
1664     128
2980     256
2540     256
1720     128
3772     256
5604     512
1348     128
2064     256
6040     512
3288     256
2804     256
2388     128
3060     256
1628     128
3056     256
2776     256
1316     128
3024     256
2036     256
2320     256
4852     512
5136     512
3012     256
3220     256
4816     512
2388     256
3096     256
3632     256
2064     256
1916     128
1916     128
2928     256
2748     256
3208     256
3340     256
6396     512
3108     256
1268     128
1180     128
5172     512
2840     256
4716     512
2296     128
1684     128
6940     512
1448     128
2136     256
2956     256
2408     256
2920     256
2316     256
3236     256
1300     128
2236     256
3112     256
1996     128
4800     512
2636     256
4868     512
3740     256
1668     128
2212     256
1856     128
2652     128
1160     128
2152     128
2032     128
2656     256
4292     512
2976     256
2348     256
5848     512
2704     256
2172     128
4364     512
3404     256
5916     512
3612     256
2940     256
3192     256
2188     256
3440     256
2968     256
2436     256
5324     512
3460     256
2392     256
2552     256
2920     256
4408     512
1928     128
2684     256
2192     128
2844     256
3084     256
3056     256
2944     256
1744     128
1624     128
2380     256
1988     128
3440     256
3360     256
1728     128
3620     256
1604     128
1528     128
6000     512
2160     256
2216     256
2236     128
6864     512
2092     256
2476     256
5348     512
2580     256
1892     128
3504     256
924     64
2128     256
2624     256
3084     256
3756     256
1248     128
3540     256
2524     256
2236     256
2192     128
5296     512
6452     512
5524     512
6040     512
4684     512
3236     256
3016     256
1968     128
3728     256
2812     256
2620     256
2016     128
1408     128
3564     256
2256     128
2668     256
1012     64
2088     256
2464     256
3352     256
1960     128
3248     256
3016     256
3016     256
2112     256
4480     256
3088     256
3752     256
3004     256
3064     256
2700     256
3184     256
2604     256
4932     512
2508     256
2900     256
4456     512
2796     256
4676     512
1788     128
3220     256
2300     256
6824     512
4240     256
1336     128
2316     256
2840     256
3500     256
2748     256
5164     512
2136     256
3520     256
3128     256
3504     256
1500     128
1964     128
2960     256
2652     256
1440     128
1872     256
4144     256
3000     256
2936     256
4568     256
4784     512
3752     256
1312     128
5080     512
2324     256
1280     128
1900     128
2224     256
4368     256
1936     128
2644     256
3788     256
6144     512
3720     256
2600     256
2440     128
7048     512
1616     128
1572     128
1332     128
3200     256
2304     256
1252     128
1540     128
7112     512
3460     256
2244     256
4636     256
3468     256
1304     128
2896     256
6024     512
5120     512
4764     512
5320     512
4452     512
3120     256
2828     256
4612     256
6780     512
1492     128
3444     256
1504     128
2336     256
3036     256
3292     256
2204     256
2996     256
2812     256
3592     256
6868     512
2456     256
6256     512
1420     128
2212     256
1188     128
2204     256
2860     256
6352     512
4332     256
2648     256
2372     256
2752     256
1104     128
3600     256
1984     256
3124     256
3408     256
2296     256
3308     256
3280     256
2952     256
3452     256
2768     256
3544     256
2916     256
1280     128
4836     512
1528     128
3772     256
2456     256
1300     128
1596     128
3244     256
2564     256
5200     512
2964     256
2992     256
1244     128
1656     128
6576     512
2424     256
2928     256
2256     256
2972     256
7068     512
3016     256
2388     256
2860     256
1440     128
2168     256
1288     128
2220     128
1280     128
6560     512
3228     256
4024     512
2152     256
1220     128
2572     256
5276     512
6928     512
2920     256
5212     512
3840     256
2576     256
3084     256
2096     128
1500     128
3208     256
5104     512
3004     256
5300     512
6608     512
5888     512
2248     256
2884     256
1568     128
2868     256
1568     128
3324     256
2696     256
2500     256
2172     128
1296     128
10128     1024
3480     256
3400     256
2712     256
1376     128
2956     256
1952     256
2476     128
4240     512
1312     128
5160     512
3088     256
4368     512
3344     256
1688     128
2436     256
1664     128
2596     256
2788     256
1596     128
3284     256
1656     128
5944     512
1368     128
6684     512
2276     128
5064     512
1628     128
4168     256
5144     512
3760     256
5948     512
2984     256
3132     256
2820     256
1544     128
2760     256
1744     128
7180     512
1872     128
2472     256
1960     128
6212     512
3828     256
6676     512
2528     256
5792     512
3860     256
2092     128
3884     256
2880     256
2600     256
2496     256
3028     256
1512     128
2880     256
4652     512
1524     128
1552     128
1132     128
4604     512
4988     512
3096     256
1492     128
1600     128
2420     256
2980     256
4656     256
3548     256
2780     256
2564     256
5112     512
2764     256
1016     64
1940     128
4696     512
2824     256
2740     256
